No,Bidang yang Bertugas,Nama Konten,Bulan,Jadwal Posting,Jenis Konten,Status,Progress,Content Writer,Designer/Editor,Konsultan,Kameramen,Cast/VO,Support,Link Drive,Link Instagram,Link Facebook,Link Tiktok,Interaksi,Reach,ER,Tanggal Screenshoot,Link Screenshot Insight,Kendala,Solusi,Status Pengingat
21,Hubungan Kelembagaan,Sektor Unggulan Sulawesi Tenggara ,10. Oktober,15/10/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
,(target Dummy),Rekomendasi Statistik,10. Oktober,29/10/2026,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
22,Hubungan Media Masa,Statistik Perumahan di Sulawesi Tenggara,11. November,05/11/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
23,Peliputan,Mengukur Kesejahteraan Petani Sultra,11. November,19/11/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
,(target Dummy),Layanan Nol Rupiah BPS,11. November,26/11/2026,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
24,Sosialisasi Kegiatan,Apa Bedanya Pengangguran dan Setengah Pengagguran,12. Desember,03/12/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
25,Keprotokolan,profil kesehatan ibu dan anak,12. Desember,17/12/2026,Poster/Infografis,Wajib,Belum,,Wildan,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
25,Keprotokolan tes uji,profil kesehatan ibu dan anak uji,12. Desember,14/05/2026 14:37:00,Poster/Infografis,Wajib,Belum,,Wildan,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
26,,,,,,,,,,,,,,,,,,,,,,,,,TERKIRIM
,"Tagar yang ditampilkan
pada caption setiap konten:
#promosistatistik
#sadarstatistik",https://license365bps-my.sharepoint.com/:x:/r/personal/edupromstat_license365bps_onmicrosoft_com/_layouts/15/Doc.aspx?sourcedoc=%7BE85DE853-E967-49A7-8B48-A90440A62E50%7D&file=7400%20SULAWESI%20TENGGARA%20LK%20EPS.xlsx&action=default&mobileredirect=true,,,,,,,,,,,,,,,,,,,,,,,TERKIRIM
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
